What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Xena Pratiwi,Male,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",6.23,No,NA,No,NA,Masters in Engineering
Dian Rahayu,Female,Teknik Industri,Sistem Industri,"Quality Control, Six Sigma, Kaizen","Analisis Data, Minitab, SPSS",9.37,Yes,PMP,Yes,Process Engineer,Masters in Supply Chain
Reza Mahendra,Female,Kedokteran,Kedokteran Umum,"Bedah, Operasi, Spesialis","Penelitian, Statistik Medis, SPSS",8.02,Yes,STR Dokter,Yes,Dokter Puskesmas,NA
Gilang Ramadhan,Male,Manajemen,Manajemen Pemasaran,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",8.91,Yes,NA,No,NA,MBA
Shinta Dewi,Female,Kedokteran,Kedokteran Gigi,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",8.52,No,NA,Yes,Dokter Gigi,Spesialis Anak
Taufik Hidayat,Male,Psikologi,Psikologi Industri,"Konseling, Terapi, Kesehatan Mental","Konseling, Wawancara, Empati",7.86,Yes,,Yes,Peneliti,NA
Leni Susanti,Male,Pendidikan,PGSD,"Mengajar, Kurikulum, Pendidikan","Bimbingan, Konseling, Komunikasi",6.64,No,NA,Yes,Guru,Masters in Education
Fitri Handayani,Male,B.Com,Economics,"Marketing, Sales, Business","Financial Modeling, Excel, SAP",7.22,Yes,CFA Level 1,Yes,Accountant,MBA Finance
Ivan Gunawan,Male,Perkapalan,Teknik Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Marine Engineering, Pemeliharaan Kapal",9.15,No,NA,No,NA,NA
Bella Safira,Male,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",8.82,No,NA,Yes,Database Administrator,MBA IT
Citra Dewi,Male,Kelautan,Konservasi Sumber Daya Laut,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",7.39,No,NA,No,NA,NA
Mohammad Rizki,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Telekomunikasi, Jaringan, RF","AutoCAD Electrical, ETAP, MATLAB",6.68,No,NA,Yes,Telecom Engineer,NA
Zara Nabila,Male,Sistem Informasi,Manajemen Sistem Informasi,"Sistem Informasi, ERP, Business Analysis","Python, Tableau, Power BI, SQL",9.61,No,,Yes,ERP Consultant,NA
Wulan Sari,Female,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",8.27,No,,No,NA,NA
Fara Aulia,Male,Sastra Inggris,Sastra,"Penerjemahan, Bahasa, Linguistik","Penerjemahan, Bahasa Inggris, Riset",8.58,Yes,NA,Yes,Guru Bahasa Inggris,NA
Gilang Ramadhan,Male,Hubungan Internasional,Politik Internasional,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",7.41,No,NA,No,NA,NA
Wulan Sari,Male,B.Com,Business Studies,"Finance, Accounting, Business","MS Excel, PowerPoint, Business Analysis",7.58,No,,No,NA,NA
Taufik Hidayat,Male,Perkapalan,Teknik Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",7.16,No,NA,No,NA,NA
Jeni Kurniawan,Male,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",7.73,No,NA,No,,
Wahyu Nugroho,Male,Teknik Industri,Sistem Industri,"Supply Chain, Logistik, Operasional","AutoCAD, Visio, Lean Six Sigma",7.54,No,,No,NA,NA
Leni Susanti,Male,Kedokteran,Kedokteran Umum,"Penelitian Medis, Farmakologi","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.98,Yes,NA,No,NA,Masters in Public Health
Reza Mahendra,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Telekomunikasi, Jaringan, RF","Arduino, Raspberry Pi, C++, IoT",9.75,No,NA,No,NA,NA
Nina Kusuma,Female,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Pengolahan Daging, Susu, Telur",7.15,No,NA,No,NA,NA
Ivan Gunawan,Male,B.Sc,Statistics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",7.1,No,NA,Yes,Electronics Engineer,Masters in Data Science
Evan Setiawan,Female,Pendidikan,Pendidikan Bahasa,"Bimbingan Konseling, Psikologi Pendidikan","Mengajar, RPP, Kurikulum Merdeka",8.58,No,NA,No,NA,NA
Nita Anggraini,Female,Hukum,HTN,"Litigasi, Advokasi, Peradilan","Legal Drafting, Analisis Hukum, Riset",8.13,Yes,NA,Yes,Jaksa,NA
Bella Safira,Male,Perkapalan,Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",6.55,Yes,STCW,No,NA,
Agus Salim,Female,Akuntansi,Perpajakan,"Keuangan, Investasi, Pasar Modal","SAP, Accurate, Jurnal Akuntansi",6.92,Yes,,Yes,Akuntan,MBA Keuangan
Jeni Kurniawan,Female,Sastra Inggris,Pengajaran Bahasa Inggris,"Penulisan, Sastra, Kreatif","Penerjemahan, Bahasa Inggris, Riset",6.71,No,NA,Yes,Penerjemah,NA
Citra Dewi,Female,Pertanian,Agroteknologi,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",7.1,No,NA,Yes,Peneliti Pertanian,NA
Irfan Maulana,Male,Kelautan,Ilmu Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",7.8,Yes,Remote Sensing Cert,No,NA,Magister Ilmu Kelautan
Vino Pratama,Female,Ekonomi Pembangunan,Ekonomi Regional,"Moneter, Perbankan, Keuangan Publik","Ekonometrika, SPSS, Eviews, Analisis",6.5,Yes,Sertifikasi Perencana,No,NA,
Xena Pratiwi,Male,Farmasi,Farmakologi,"Penelitian, Farmakologi, Drug Discovery","QC, QA, GMP, HPLC",8.07,Yes,Regulatory Affairs Cert,Yes,Medical Representative,
Citra Dewi,Male,Hubungan Internasional,Studi Keamanan,"Organisasi Internasional, PBB, NGO","Komunikasi, Presentasi, Diplomasi",7.69,No,NA,Yes,Staf NGO Internasional,NA
Taufik Hidayat,Male,Hukum,Hukum Pidana,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",8.92,Yes,NA,No,NA,
Fara Aulia,Female,Perkapalan,Teknik Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",7.56,Yes,Class NK Certification,No,NA,Magister Teknik Perkapalan
Dita Maharani,Male,Desain Komunikasi Visual,Desain Grafis,"Animasi, Motion Graphics, Video","After Effects, Premiere Pro, Animasi",6.64,No,NA,Yes,Graphic Designer,NA
Kevin Surya,Male,B.Tech,Civil,"IoT, Embedded Systems, Robotics","AWS, Docker, Kubernetes, DevOps",8.98,No,NA,No,NA,NA
Leni Susanti,Female,Peternakan,Teknologi Hasil Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",7.41,Yes,Halal Auditor,No,NA,Masters in Animal Science
Oscar Firmansyah,Male,Pertanian,Hortikultura,"Pertanian, Budidaya, Agronomi","Agribisnis, Manajemen Usaha Tani",8.45,Yes,Sertifikasi Penyuluh Pertanian,No,NA,NA
Krisna Bayu,Male,Manajemen,Manajemen Bisnis,"SDM, Organisasi, Leadership","Financial Planning, Budgeting, Excel",7.52,No,NA,No,NA,Masters in Management
Sari Indah,Female,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",8.91,Yes,Legal Drafting Certification,Yes,,NA
Nita Anggraini,Female,Psikologi,Psikologi Industri,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",8.69,No,,Yes,Psikolog,NA
Nina Kusuma,Female,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Pengolahan Daging, Susu, Telur",6.87,Yes,NA,Yes,Peternak Profesional,NA
Qirana Putri,Male,Hubungan Internasional,Diplomasi,"Organisasi Internasional, PBB, NGO","Komunikasi, Presentasi, Diplomasi",8.42,No,,No,NA,
Qori Annisa,Male,Manajemen,Manajemen Keuangan,"Keuangan, Investasi, Bisnis","Marketing, Branding, Social Media",6.46,No,,No,,MM Keuangan
Vino Pratama,Female,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",8.08,No,NA,No,NA,NA
Julia Permata,Female,Perkapalan,Teknik Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","AutoCAD, Maxsurf, Ship Design",6.2,Yes,Sertifikasi IMO,No,NA,NA
Citra Dewi,Female,Sastra Inggris,Penerjemahan,"Penulisan, Sastra, Kreatif","Content Writing, Copywriting, Editing",7.7,No,,Yes,Guru Bahasa Inggris,Masters in Translation
Vino Pratama,Female,Manajemen,Manajemen Pemasaran,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",7.84,Yes,NA,Yes,Business Analyst,
Ragil Saputro,Male,Peternakan,Kesehatan Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",9.16,Yes,Halal Auditor,Yes,Peternak Profesional,Magister Peternakan
Miko Prasetyo,Male,Hukum,Hukum Bisnis,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",8.12,No,NA,No,NA,Masters in Law
Vino Pratama,Male,BCA,Software Development,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",6.81,No,,Yes,Web Developer,NA
Zara Nabila,Female,Perkapalan,Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Solidworks, ANSYS, Analisis Struktur",7.82,No,NA,No,NA,Magister Teknik Perkapalan
Cahyo Wibowo,Female,Sastra Inggris,Pengajaran Bahasa Inggris,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",8.1,Yes,NA,No,,NA
Ragil Saputro,Male,Ilmu Komunikasi,Public Relations,"Public Relations, Branding, Komunikasi","Social Media, Content Creation, SEO",8.2,Yes,,No,NA,NA
Ragil Saputro,Female,BA,Psychology,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",6.59,Yes,Content Writing Certification,Yes,,NA
Qori Annisa,Female,Ekonomi Pembangunan,Ekonomi Internasional,"Perdagangan Internasional, Ekspor Impor","Ekonometrika, SPSS, Eviews, Analisis",8.69,Yes,CFA Level 1,No,,Magister Ekonomi
Taufik Hidayat,Female,Perikanan,Sosial Ekonomi Perikanan,"Manajemen Sumber Daya, Konservasi","Pengolahan Ikan, HACCP, Food Safety",8.12,No,NA,No,NA,Magister Perikanan
Gilang Ramadhan,Female,Peternakan,Produksi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",6.4,Yes,NA,No,NA,NA
Ulfah Rahmawati,Female,Hubungan Internasional,Organisasi Internasional,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",7.62,No,,No,NA,MA Diplomasi
Mohammad Rizki,Male,Perikanan,Manajemen Sumberdaya Perairan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",6.49,Yes,HACCP Certification,Yes,Pembudidaya Ikan,NA
Kevin Surya,Male,B.Tech,Mechanical,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",6.08,No,NA,Yes,DevOps Engineer,
Gilang Ramadhan,Female,B.Com,Business Studies,"Marketing, Sales, Business","Financial Modeling, Excel, SAP",8.03,No,NA,Yes,Tax Consultant,NA
Fara Aulia,Male,Peternakan,Produksi Ternak,Teknologi Pengolahan Hasil Ternak,"Manajemen Ternak, Kesehatan Hewan, Vaksinasi",7.43,No,NA,Yes,Quality Control Produk Ternak,NA
Wahyu Nugroho,Female,Pertanian,Hortikultura,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",7.01,Yes,NA,No,NA,NA
Miko Prasetyo,Female,Desain Komunikasi Visual,Ilustrasi,"UI/UX, Product Design, Prototyping","After Effects, Premiere Pro, Animasi",8.49,No,NA,No,NA,NA
Shinta Dewi,Male,Kedokteran,Spesialis Bedah,"Klinik, Pasien, Diagnosis","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.58,No,NA,Yes,Peneliti Medis,
Wahyu Nugroho,Female,B.Com,Business Studies,"Banking, Finance, Economics","Tally, MS Excel, Accounting",6.61,Yes,,No,NA,NA
Qori Annisa,Female,Sastra Inggris,Penerjemahan,"Penerjemahan, Bahasa, Linguistik","Content Writing, Copywriting, Editing",6.94,Yes,TOEFL 600+,Yes,Editor,NA
Nita Anggraini,Male,Hubungan Internasional,Diplomasi,"Perdagangan Internasional, Ekonomi Global","Bahasa Inggris, Bahasa Asing, Negosiasi",7.02,Yes,IELTS 7.0+,No,NA,Masters in International Law
Julia Permata,Female,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",9.31,No,NA,No,NA,Masters in AI
Fitri Handayani,Female,Manajemen,Manajemen SDM,"SDM, Organisasi, Leadership","Marketing, Branding, Social Media",7.26,Yes,Digital Marketing Google,No,NA,Masters in Management
Hesti Ratnasari,Female,Ilmu Komunikasi,Jurnalistik,"Public Relations, Branding, Komunikasi","Penulisan, Editing, Wawancara",8.7,Yes,Google Digital Marketing,No,NA,NA
Wulan Sari,Male,Sistem Informasi,Manajemen Sistem Informasi,"IT Project Management, Konsultasi","SQL, SAP, Business Analysis, Excel",9.62,No,NA,No,NA,NA
Vino Pratama,Female,Kelautan,Konservasi Sumber Daya Laut,"Oseanografi, Penelitian Laut, Ekspedisi","Remote Sensing, Citra Satelit, Analisis",9.24,Yes,NA,No,NA,NA
Yogi Permana,Male,Sistem Informasi,E-Business,"Sistem Informasi, ERP, Business Analysis","SQL, SAP, Business Analysis, Excel",7.99,No,NA,Yes,ERP Consultant,NA
Wulan Sari,Male,Desain Komunikasi Visual,Desain Grafis,"Desain Grafis, Branding, Visual","After Effects, Premiere Pro, Animasi",8.07,Yes,Figma Certification,No,NA,Masters in Design
Dian Rahayu,Male,B.Tech,Mechanical,"AI, Machine Learning, Deep Learning","AWS, Docker, Kubernetes, DevOps",8.87,No,NA,No,NA,Masters in AI
Krisna Bayu,Male,Perikanan,Sosial Ekonomi Perikanan,"Manajemen Sumber Daya, Konservasi","GIS, Pemetaan Perairan, Analisis",6.84,No,,Yes,Penyuluh Perikanan,NA
Fitri Handayani,Male,B.Sc,Computer Science,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",6.79,Yes,MATLAB Certification,No,NA,NA
Shinta Dewi,Female,Ilmu Komunikasi,Penyiaran,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",7.77,No,NA,No,NA,
Jeni Kurniawan,Female,Manajemen,Manajemen Bisnis,"SDM, Organisasi, Leadership","Marketing, Branding, Social Media",6.39,No,,No,NA,Masters in Management
Fara Aulia,Male,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",8.22,No,NA,No,NA,Spesialis Bedah
Eko Wahyudi,Male,Teknik Industri,Logistik,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",7.11,No,NA,No,NA,NA
Irfan Maulana,Female,Perkapalan,Teknik Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",6.55,No,NA,Yes,Surveyor Kapal,NA
Qirana Putri,Female,BCA,Software Development,"Data Science, AI, Machine Learning","C++, Data Structures, Algorithms",6.79,Yes,Python Certification,No,NA,Masters in Computer Science
Krisna Bayu,Male,BCA,Information Technology,"Cybersecurity, Networking, Cloud","Python, Java, SQL",6.9,Yes,Python Certification,No,NA,MCA
Ivan Gunawan,Female,B.Sc,Computer Science,"Physics, Research, Innovation","Python, R, MATLAB, Statistics",7.82,Yes,,No,NA,NA
Hana Sari,Male,B.Sc,Electronics,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",6.53,No,NA,Yes,Research Analyst,
Lisa Amelia,Male,Desain Komunikasi Visual,Desain Grafis,"UI/UX, Product Design, Prototyping","Figma, Adobe XD, Sketch, Prototyping",6.35,Yes,NA,No,NA,NA
Putri Ayu,Male,Akuntansi,Audit,"Keuangan, Investasi, Pasar Modal","Perpajakan, e-SPT, Brevet",7.39,Yes,CA,Yes,,
Oscar Firmansyah,Male,Pertanian,Ilmu Tanah,"Teknologi Pertanian, Smart Farming, IoT","Drone Pertanian, Smart Farming, IoT",8.36,Yes,GIS Certification,No,NA,NA
Xena Pratiwi,Male,BA,Psychology,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",9.06,No,NA,Yes,Content Writer,NA
Andi Pratama,Male,Manajemen,Manajemen Keuangan,"Keuangan, Investasi, Bisnis","Financial Planning, Budgeting, Excel",6.88,No,,No,NA,MM Keuangan
Fitri Handayani,Female,Kedokteran,Kedokteran Umum,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",8.61,No,NA,No,NA,NA
Omar Hakim,Female,Desain Komunikasi Visual,Animasi,"UI/UX, Product Design, Prototyping","Adobe Illustrator, Photoshop, InDesign",8.32,No,NA,No,NA,NA
Petra Wijaya,Male,BA,History,"Psychology, Counseling, HR","Communication, Writing, Research",8.84,Yes,NA,No,NA,NA
Ivan Gunawan,Male,B.Sc,Computer Science,"Physics, Research, Innovation","Python, R, MATLAB, Statistics",7.31,No,NA,No,NA,NA
Hana Sari,Female,B.Com,Business Studies,"Finance, Accounting, Business","MS Excel, PowerPoint, Business Analysis",6.03,Yes,Financial Modeling,No,NA,Masters in Finance
Oscar Firmansyah,Female,Psikologi,Psikologi Pendidikan,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",8.08,Yes,Sertifikasi Psikolog,Yes,Peneliti,MM SDM
Vino Pratama,Male,Peternakan,Produksi Ternak,Teknologi Pengolahan Hasil Ternak,"Manajemen Ternak, Kesehatan Hewan, Vaksinasi",8.54,Yes,Halal Auditor,Yes,Peneliti Ternak,NA
Ragil Saputro,Female,Perikanan,Sosial Ekonomi Perikanan,"Budidaya Ikan, Akuakultur, Tambak","Pengolahan Ikan, HACCP, Food Safety",8.18,Yes,HACCP Certification,No,NA,NA
Hesti Ratnasari,Male,Teknik Industri,Manajemen Operasi,"Manufaktur, Produksi, Lean Manufacturing","MS Project, ERP, SAP",9.31,No,NA,No,,NA
Vino Pratama,Male,B.Com,Economics,"Marketing, Sales, Business","Tally, MS Excel, Accounting",9.21,Yes,,No,NA,
Budi Santoso,Female,Teknik Elektro,Telekomunikasi,"Elektronika, Embedded Systems, IoT","Arduino, Raspberry Pi, C++, IoT",7.8,No,NA,Yes,Automation Engineer,Masters in Electrical Engineering
Cahyo Wibowo,Male,Pertanian,Agroteknologi,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",7.32,Yes,GIS Certification,Yes,Peneliti Pertanian,Masters in Agribusiness
Jeni Kurniawan,Male,BCA,Information Technology,"Data Science, AI, Machine Learning","JavaScript, HTML, CSS, React",6.82,No,NA,Yes,Mobile Developer,NA
Gilang Ramadhan,Female,Hubungan Internasional,Diplomasi,"Organisasi Internasional, PBB, NGO","Komunikasi, Presentasi, Diplomasi",7.52,Yes,TOEFL 600+,Yes,Diplomat,MA Diplomasi
Agus Salim,Female,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","AutoCAD, Visio, Lean Six Sigma",6.5,Yes,Lean Six Sigma Green Belt,Yes,Quality Engineer,NA
Ivan Gunawan,Male,Ekonomi Pembangunan,Ekonomi Regional,"Moneter, Perbankan, Keuangan Publik","Kebijakan Publik, Riset, Laporan",8.11,No,,No,NA,Magister Ekonomi
Bella Safira,Female,BCA,Computer Applications,"Programming, Web Development, Software","C++, Data Structures, Algorithms",9.5,Yes,Google Android Developer,Yes,System Analyst,NA
Nita Anggraini,Female,Desain Komunikasi Visual,Animasi,"UI/UX, Product Design, Prototyping","Adobe Illustrator, Photoshop, InDesign",6.37,Yes,NA,Yes,Graphic Designer,Masters in UX
Vina Melati,Female,Perkapalan,Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",9.06,Yes,,Yes,Naval Architect,NA
Omar Hakim,Female,Akuntansi,Akuntansi Keuangan,"Akuntansi, Perpajakan, Keuangan","SAP, Accurate, Jurnal Akuntansi",6.71,Yes,CPA,No,NA,Magister Akuntansi
Qori Annisa,Male,Manajemen,Manajemen Bisnis,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",7.33,Yes,CFA Level 1,Yes,HR Manager,NA
Nita Anggraini,Female,Pendidikan,Pendidikan Matematika,"Mengajar, Kurikulum, Pendidikan","Mengajar, RPP, Kurikulum Merdeka",9.32,Yes,TEFL,Yes,Education Consultant,NA
Putri Ayu,Male,Pertanian,Agribisnis,"Teknologi Pertanian, Smart Farming, IoT","Agribisnis, Manajemen Usaha Tani",8.76,No,NA,Yes,Agronomis,NA
Nina Kusuma,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Penulisan, Sastra, Kreatif","Content Writing, Copywriting, Editing",6.23,No,NA,No,NA,NA
Shinta Dewi,Female,Pendidikan,PGSD,"Bimbingan Konseling, Psikologi Pendidikan","Bimbingan, Konseling, Komunikasi",8.36,Yes,TEFL,Yes,Konselor Sekolah,NA
Krisna Bayu,Male,Sistem Informasi,E-Business,"Database, Data Management, BI","PHP, MySQL, Web Development",6.31,Yes,CBAP,No,,NA
Bella Safira,Female,Desain Komunikasi Visual,Animasi,"UI/UX, Product Design, Prototyping","Figma, Adobe XD, Sketch, Prototyping",7.29,No,NA,No,NA,NA
Eko Wahyudi,Female,Pertanian,Agroteknologi,"Agribisnis, Wirausaha, Pasar Tani","Drone Pertanian, Smart Farming, IoT",7.79,Yes,Smart Farming Cert,Yes,Agronomis,Masters in Agronomy
Vina Melati,Female,Peternakan,Teknologi Hasil Ternak,Teknologi Pengolahan Hasil Ternak,"Pengolahan Daging, Susu, Telur",8.87,Yes,,Yes,Peneliti Ternak,NA
Zara Nabila,Male,Sistem Informasi,Enterprise System,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",9.66,Yes,Oracle Database,Yes,System Analyst,NA
Ulfah Rahmawati,Female,Ilmu Komunikasi,Periklanan,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",8.96,No,NA,No,NA,NA
Irfan Maulana,Female,Ekonomi Pembangunan,Ekonomi Moneter,"Moneter, Perbankan, Keuangan Publik","MS Excel, Statistik, Data Analysis",8.92,No,NA,Yes,Peneliti Ekonomi,NA
Taufik Hidayat,Female,Farmasi,Farmasi Klinis,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",9.54,Yes,Regulatory Affairs Cert,No,NA,NA
Evan Setiawan,Male,Akuntansi,Perpajakan,"Keuangan, Investasi, Pasar Modal","MS Excel, Pivot, Financial Reporting",8.3,No,,Yes,Auditor,MBA Keuangan
Mohammad Rizki,Male,Manajemen,Manajemen Keuangan,"Keuangan, Investasi, Bisnis","MS Excel, Business Analysis, PowerPoint",6.82,Yes,NA,Yes,HR Manager,Masters in Management
Irfan Maulana,Female,B.Tech,Mechanical,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",7.52,Yes,Google Cloud Professional,Yes,ML Engineer,NA
Taufik Hidayat,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Moneter, Perbankan, Keuangan Publik","Ekonometrika, SPSS, Eviews, Analisis",6.03,Yes,NA,Yes,Peneliti Ekonomi,Masters in Public Policy
Citra Dewi,Male,Ekonomi Pembangunan,Ekonomi Internasional,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",7.21,No,NA,No,NA,NA
Yoga Aditya,Male,Ilmu Komunikasi,Komunikasi Digital,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",8.45,Yes,PR Certification,Yes,,NA
Fara Aulia,Female,Akuntansi,Akuntansi Keuangan,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",8.72,No,NA,No,NA,
Eko Wahyudi,Female,B.Com,Business Studies,"Marketing, Sales, Business","Financial Modeling, Excel, SAP",7.4,Yes,,Yes,Accountant,NA
Dita Maharani,Female,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",7.97,Yes,NA,Yes,Marine Surveyor,
Lisa Amelia,Female,B.Tech,Computer Science,"IoT, Embedded Systems, Robotics","AWS, Docker, Kubernetes, DevOps",7.52,Yes,AWS Solutions Architect,No,NA,
Ivan Gunawan,Male,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Manajemen Ternak, Kesehatan Hewan, Vaksinasi",8.84,Yes,,No,,NA
